"project_id","project_name","discipline_name"
5108476,"Geochemische und mineralogisch-petrographische Untersuchung der Kreide-Tertiär-Grenzschicht und der Impaktlithologien des Chicxulub-Kraters, Mexiko","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5109204,"Endogene Gewebszerstörung - Mechanismen der Autodestruktion -","Pharmakologie"
5110776,"Spaltspuren-Untersuchungen zur Denudation und Abkühlungsgeschichte im Bereich des Chile-Triple-Junction und der Liquine-Ofqui-Fault (Süd-Chile)","Geologie, Ingenieurgeologie, Paläontologie"
5111870,"Weiterentwicklung fetoskopischer Interventionstechniken zur pränatalen Therapie hochgradiger fetaler Semilunarklappenstenosen","Kinder- und Jugendmedizin"
5112098,"Realzeitfähiger Datenserver: Scheduling, Routing, Chip-Design (C 5)","FK Informatik"
5113956,"Unsicherheiten in der Erdbebenmodellierung und probabilistische seismische Gefährdungsanalyse (C 04)","Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik"
5114158,"Ultrakurzzeitdynamik photostimulierter Oberflächenreaktionen: Analyse und Kontrolle (A 5)","Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
5114402,"Umweltgerechte Bodennutzung in agrarisch und urban genutzten räumen zur Reduzierung von Abfluss, Bodenverdichtung und Bodenerosion (B 5)","Bodenwissenschaften"
5114438,"Biodiversität in der Region Trier - Geschichte, Entwicklungstendenzen und Umweltmanagement (B10)","FK Geographie"
5114474,"Entwicklung und Erprobung interventionsrelevanter individualpsychologischer und Organisationaler Akteurmodelle zur Förderung umweltgerechten Handelns in drei regionalen Handlungskontexten (C 4)","Sozialpsychologie und Arbeits- und Organisationspsychologie"
5115582,"Dreidimensionale röntgenmikroskopische Darstellung von immunzytologisch gefärbten Chromatinstrukturen im Amplituden- und Phasenkontrast","Biophysik"
5115798,"Röntgenmikroskopische Analyse von Protein- und Nucleinsäureverteilungen in eukaryotischen Zellkernen und Chromosomen","Biophysik"
