"project_id","name","address"
15539625,"Neue Methoden zur Laser-Mikrodissektion und zum berührungslosen Transport von Gewebeproben und Lebendzellen für molekularbiologische Analysen","Universität zu Lübeck"
15539625,"Neue Methoden zur Laser-Mikrodissektion und zum berührungslosen Transport von Gewebeproben und Lebendzellen für molekularbiologische Analysen","Universitätsklinikum Jena"
15539625,"Neue Methoden zur Laser-Mikrodissektion und zum berührungslosen Transport von Gewebeproben und Lebendzellen für molekularbiologische Analysen","Technische Universität Braunschweig"
15559722,"Randomized-Response-Modelle zur experientellen Bestimmung der Prävalenz sozial unerwünschter Verhaltensweisen und Meinungen","Heinrich-Heine-Universität Düsseldorf"
15559722,"Randomized-Response-Modelle zur experientellen Bestimmung der Prävalenz sozial unerwünschter Verhaltensweisen und Meinungen","Universität Mannheim"
15582381,"Partikeltransporte und Sauerstoffdynamik im Tiefenwasser der Gotlandsee","Leibniz-Institut für Ostseeforschung Warnemünde (IOW)"
15582542,"Methode zur Charakterisierung der Bearbeitbarkeit von sprödhartem Verbundwerkstoff","Gottfried Wilhelm Leibniz Universität Hannover"
15643223,"Online-Regelung für das Drei-Rollen-Biegen mit Methoden der Computational Intelligence (T02)","Technische Universität Dortmund"
15683642,"Entwicklung integrierter elektrisch-hydraulischer Antriebssysteme für mobile Arbeitsmaschinen","Zentrum für angewandte Forschung und Technologie e.V. (ZAFT)"
15683642,"Entwicklung integrierter elektrisch-hydraulischer Antriebssysteme für mobile Arbeitsmaschinen","Technische Universität Dresden"
15683642,"Entwicklung integrierter elektrisch-hydraulischer Antriebssysteme für mobile Arbeitsmaschinen","Hochschule für Technik und Wirtschaft Dresden (FH)"
15745356,"Fetal programming beim Schwein Zusatzantrag: Mechanismen der proteinabhängigen Programmierung in utero und deren Konsequenzen für die neuroendokrine Stressregulation und Immunfunktion beim Schwein","Leibniz-Institut für Nutztierbiologie (FBN)"
15787121,"Ortsfeste Raumdekoration in Lübecker Wohnhäusern zwischen 1250 und 1800. Studien zu Dekorum und Erhaltung","Christian-Albrechts-Universität zu Kiel"
15787121,"Ortsfeste Raumdekoration in Lübecker Wohnhäusern zwischen 1250 und 1800. Studien zu Dekorum und Erhaltung","Hansestadt Lübeck"
15848753,"Neokortikale Verarbeitungsmodi des schlafenden Gehirns als neuronales Substrat für die Gedächtniskonsolidierung beim Menschen (A06)","Eberhard-Karls-Universität Tübingen"
15848753,"Neokortikale Verarbeitungsmodi des schlafenden Gehirns als neuronales Substrat für die Gedächtniskonsolidierung beim Menschen (A06)","Copenhagen University"
15848753,"Neokortikale Verarbeitungsmodi des schlafenden Gehirns als neuronales Substrat für die Gedächtniskonsolidierung beim Menschen (A06)","Universität zu Lübeck"
15888400,"Erhöhung der Duktilität von UHPC durch die Kombination von Fasern und nanoskalierten Partikeln","Technische Universität Darmstadt"
15888400,"Erhöhung der Duktilität von UHPC durch die Kombination von Fasern und nanoskalierten Partikeln","Postfach 1748"
15950746,"Beziehungen zwischen tektonischen Modellen und der Verteilung physikalischer Eigenschaften in Subduktionszonen (C 08)","Ruhr-Universität Bochum"
15950746,"Beziehungen zwischen tektonischen Modellen und der Verteilung physikalischer Eigenschaften in Subduktionszonen (C 08)","Helmholtz-Zentrum Geesthacht"
15951737,"Zentrale Aufgaben (Z01)","Ruhr-Universität Bochum"
