"project_id","year"
5078880,1998
5344916,1993
5078898,1998
5078912,1998
5078924,1997
5078942,1998
5078968,1993
5079066,1997
5079086,1997
5171912,1999
5079104,1997
5079132,1997
5079200,1997
5079236,1997
5079254,1997
5079298,1998
5346745,1994
5079370,1997
5079396,1997
5079606,1998
5079618,1998
5079638,1998
5079644,1997
5079762,1998
5079768,1998
5346749,1991
5346752,1996
5346757,1996
5346759,2002
5079804,1998
5079816,1997
5079866,1998
5079872,1998
5079878,1998
5079896,1997
5079908,1998
5079944,1997
5079960,1984
5079996,1997
5080026,1997
5080035,1997
5080066,1998
5080082,1998
5080130,1998
5080248,1998
5080254,1998
5080370,1998
5080392,1998
5080412,1998
5080442,1998
5080528,1997
5080572,1998
5080696,1997
5080702,1998
5080780,1997
5080802,1998
5346761,1996
5080820,1997
5080918,1998
5080932,1997
5080992,1997
5081000,1998
5081176,1997
5081182,1998
5113916,1998
5081281,1997
5081294,1998
5081298,1998
5081310,1998
5081316,1998
5081322,1998
5081328,1998
5081358,1997
5081382,1997
5081524,1997
5081548,1998
5081560,1998
5081566,1998
5081572,1998
5081578,1998
5081590,1998
5081596,1998
5081602,1998
5081608,1999
5081614,1998
5081620,1998
5081626,1998
5081632,1998
5081638,1998
5081644,1998
5081650,1998
5081656,1998
5081662,1998
5081666,1998
5113950,1998
5113956,1998
5346765,1996
5081692,1992
5081710,1998
5081728,1997
5081744,1998
5081762,1998
5084899,1998
5346769,1996
5081796,1997
5081828,1997
5081896,1984
5081918,1997
5081925,1998
5081946,1997
5081982,1998
5082004,1997
5082020,1986
5082026,1987
5082032,1988
5082038,1988
5082044,1990
5082264,1998
5082276,1997
5082054,1997
5082120,1998
5082146,1988
5082170,1997
5082210,1997
5082230,1997
5082244,1998
5082258,1997
5082284,1997
5082290,1998
5082326,2002
5082332,1997
5082344,1998
5082408,1998
5082450,1997
5354474,1992
5082494,1997
5082502,1983
5082514,1989
5082532,1992
5082538,1992
5082542,1997
5082557,1993
5082598,1997
5082657,1997
5082694,1997
5113960,1993
5113962,1998
5351172,2001
5354476,1992
5082746,1998
5082782,1998
5082806,1997
5082832,1997
5082860,1997
5082872,1997
5082934,1998
5082940,1998
5082946,1998
5082958,1998
5082968,1998
5082974,1998
5114234,1998
5297230,2001
5083008,2000
5083014,1998
5083020,1998
5083025,1998
5083045,1998
5083052,1997
5083066,1998
5083073,1998
5083094,1998
5083170,1997
5092700,1998
5297236,2001
5083274,1997
5083282,1997
5083288,1998
5083300,1997
5083336,1997
5083432,1998
5083437,2001
5083502,1998
5083507,1998
5083518,1998
5083524,1998
5083550,1998
5083556,1998
5083628,1997
5083646,1997
5083656,1997
5083700,1998
5083800,1998
5083806,1998
5083814,1998
5083822,1998
5083828,1998
5083852,1997
5083864,1997
5083884,1998
5083890,1997
5083896,1998
5083924,1999
5083974,1998
5083986,1997
5084030,1997
5084064,1997
5084078,1998
5084084,1997
5189768,1999
5189774,2000
5084096,1998
